sample,replicate,location,pH,TVB_N,Cadaverine,Histamine,Putrescine,TMA_N,Vitamin_A,Vitamin_D3,Vitamin_E,TBA,FFA_%,TVC_CFU,Enterobacteriaceae_CFU,Pseudomonas_CFU
TF1,1,Ba Ria - Vung Tau,6.89,66.54,250.78,118.74,182.99,7.07,24.37,0.72,7.24,3.39,2.66,1690000,265,29500
TF2,1,Ba Ria - Vung Tau,6.86,69.51,275.24,65.14,177.68,8.58,11.25,0.56,9.65,3.34,2.63,24500000,430,305
TF3,1,Ba Ria - Vung Tau,6.99,90.02,630,521.5,343.02,15.28,17.45,0.89,8.92,5.71,2.5,7000000,3800,26500
TF4,1,Ba Ria - Vung Tau,6.51,103.36,1635.22,1741.54,604.19,27.48,15.97,0.94,18.69,9.63,4.57,2660000000,610000,400000
TF5,1,Ba Ria - Vung Tau,6.75,153.66,1667.46,1608.17,409.43,26.84,16.2,0.67,19.05,9.41,4.78,2650000000,615000,1250000
TF6,1,Ba Ria - Vung Tau,6.91,89.52,720.76,786.63,363.99,16.81,27.95,0.88,17.78,6.89,2.57,79000000,24500,16000
TF7,1,Ba Ria - Vung Tau,6.18,103.69,1859.53,1719.35,87.22,36.65,14.05,0.76,16.96,10.56,4.74,1440000000,445000,2700000
TF8,1,Ba Ria - Vung Tau,6.15,90.28,769.5,870.7,270.25,14.48,13.95,0.83,9.45,6.29,4.41,835000000,27500,18900
TF9,1,Kien Giang,6.54,74.7,889.17,625.34,362.96,19.76,26.65,1.37,10.17,6.32,4.03,83500000,4100,3250
TF10,1,Kien Giang,6.58,138.16,1571.3,1716.85,421.62,34.24,20.31,2.27,14.81,9.61,5.07,19700000,1200,60
TF11,1,Kien Giang,6.7,148.3,1425.42,1152.03,293.41,21,15.66,1.59,7.52,9.87,4.48,103000000,850,1240
TF12,1,Kien Giang,7.16,83.6,1161.6,327.71,361.56,16.41,18.19,1.76,10.57,6.07,4.32,45000000,940,415
TF13,1,Kien Giang,6.78,71.66,501.31,214.27,100.16,10.59,23.42,1.05,8.57,3.01,2.36,19500000,7500,7950
TF14,1,Kien Giang,6.69,91.45,1281.2,878.29,226.9,24.94,32.36,1.39,49.86,4.81,3.93,83000000,610,1130
TF15,1,Kien Giang,6.58,100.67,2047.88,1861.83,432.79,39.48,24.95,1.55,9.68,10.27,4.86,237000000,245,1590
TF16,1,Kien Giang,6.6,90.28,1373.28,1393.23,216.89,22.91,15.06,1.14,9.36,4.92,4.26,52500000,310,3150
TF17,1,Kien Giang,6.58,78.51,1257.2,1380,380.7,22.56,20.39,1.48,9.11,5.46,4.21,94500000,425,815
TF18,1,Ca Mau,6.69,100.46,1220.05,299.53,271.11,13.25,21.42,1.22,20.94,5.65,3.28,165000000,11900,23500
TF19,1,Ca Mau,7.59,62.75,69.44,56.78,138.68,9.1,15.91,1.2,15.71,3.37,2,27000000,770,200
TF20,1,Ca Mau,6.77,151.16,1505.39,1809.79,647.03,33.5,39.75,1.16,33.1,7.05,4.94,1270000000,53500,90000
TF21,1,Ca Mau,6.52,73.3,623.07,232.07,252.06,17.49,19.64,1.08,40.69,3.57,2.5,23500000000,400000,1010000
TF22,1,Ca Mau,6.87,86.69,853.9,206.41,352.43,10.98,21.69,1.12,16.01,4.58,2.47,175000000,72000,28500
TF1,2,Ba Ria - Vung Tau,6.89,66.46,255.31,143.05,200.99,7.72,24.44,0.72,7.26,3.24,2.2,1770000,305,32000
TF2,2,Ba Ria - Vung Tau,6.88,69.46,318.52,78.42,158.05,8.88,11.18,0.55,9.59,3.48,2.13,21300000,440,310
TF3,2,Ba Ria - Vung Tau,7,89.89,626.29,532.84,373.98,15.65,17.53,0.9,8.96,6.31,2.51,6850000,3450,31000
TF4,2,Ba Ria - Vung Tau,6.52,103.16,1516.79,1687.71,563.71,28.48,16.01,0.95,18.74,9.76,4.6,2500000000,535000,395000
TF5,2,Ba Ria - Vung Tau,6.76,153.68,1668.41,1531.82,410.97,26.95,16.15,0.66,18.99,9.72,4.8,2670000000,625000,1100000
TF6,2,Ba Ria - Vung Tau,6.92,89.52,679.6,686.42,341.81,16.25,28.01,0.88,17.81,7.39,2.69,82500000,17500,15600
TF7,2,Ba Ria - Vung Tau,6.18,103.74,1844.5,1712.27,94.07,35.4,14.13,0.77,17.05,10.43,4.73,1590000000,535000,2350000
TF8,2,Ba Ria - Vung Tau,6.14,90.27,796,923.38,299.58,14.15,14.02,0.85,9.51,5.52,4.31,745000000,26500,16800
TF9,2,Kien Giang,6.54,74.56,948.12,667.87,331.33,19.6,26.59,1.38,10.15,6.31,4.21,80500000,3700,3100
TF10,2,Kien Giang,6.58,138.02,1509.9,1705.08,401.2,34.04,20.36,2.27,14.85,9.74,5.07,18800000,1000,60
TF11,2,Kien Giang,6.7,148.43,1385.35,992.9,267.74,20.8,15.62,1.58,7.5,9.4,4.67,111000000,890,1260
TF12,2,Kien Giang,7.16,83.67,1076.87,317.09,326.33,16.48,18.27,1.76,10.62,6.68,4.42,43500000,950,430
TF13,2,Kien Giang,6.78,71.62,491.01,186.73,96.01,10.73,23.5,1.05,8.59,4.39,2.24,18500000,8150,8050
TF14,2,Kien Giang,6.69,91.36,1279.86,875.81,208.6,25.25,32.27,1.39,49.72,4.01,4.26,77500000,585,1250
TF15,2,Kien Giang,6.58,100.51,2035.24,1846.38,410.24,39.42,24.99,1.55,9.7,10.04,4.89,267000000,225,1620
TF16,2,Kien Giang,6.58,90.27,1378.43,1350.16,252,23.61,15.12,1.15,9.4,5.33,4.66,61500000,260,2700
TF17,2,Kien Giang,6.59,78.65,1231.49,1344.65,370.07,22.16,20.3,1.47,9.07,4.88,4.19,83500000,445,835
TF18,2,Ca Mau,6.68,100.45,1279.99,391.71,287.07,12.94,21.53,1.22,21.04,6.4,3.28,160000000,10700,23800
TF19,2,Ca Mau,7.57,62.87,70.48,54.26,137.2,9.89,15.87,1.19,15.68,3.56,1.75,26800000,810,195
TF20,2,Ca Mau,6.76,151.1,1522.1,1797.91,653.48,33.26,39.83,1.17,33.16,7.15,4.77,1260000000,44500,91500
TF21,2,Ca Mau,6.53,73.22,646.72,208.41,246.29,17.74,19.61,1.06,40.61,4.66,2.72,27500000000,430000,1100000
TF22,2,Ca Mau,6.85,86.76,974.46,213.24,363.88,11.25,21.64,1.12,15.99,4.39,2.37,186000000,73500,31500
TF1,3,Ba Ria - Vung Tau,6.88,66.65,na,na,na,na,na,na,na,na,2.18,1790000,240,28500
TF2,3,Ba Ria - Vung Tau,6.86,69.49,na,na,na,na,na,na,na,na,2.39,23500000,450,315
TF3,3,Ba Ria - Vung Tau,7,90.02,na,na,na,na,na,na,na,na,2.52,7150000,4150,29500
TF4,3,Ba Ria - Vung Tau,6.51,103.38,na,na,na,na,na,na,na,na,4.56,2430000000,505000,435000
TF5,3,Ba Ria - Vung Tau,6.74,153.37,na,na,na,na,na,na,na,na,4.79,2630000000,560000,1250000
TF6,3,Ba Ria - Vung Tau,6.91,89.67,na,na,na,na,na,na,na,na,2.64,81500000,24000,16500
TF7,3,Ba Ria - Vung Tau,6.17,103.76,na,na,na,na,na,na,na,na,4.73,1480000000,520000,2450000
TF8,3,Ba Ria - Vung Tau,6.15,90.03,na,na,na,na,na,na,na,na,4.43,790000000,27000,18400
TF9,3,Kien Giang,6.54,74.46,na,na,na,na,na,na,na,na,4.22,83500000,4200,3250
TF10,3,Kien Giang,6.58,138.08,na,na,na,na,na,na,na,na,5.1,20600000,1110,60
TF11,3,Kien Giang,6.7,148.51,na,na,na,na,na,na,na,na,4.43,102000000,870,1100
TF12,3,Kien Giang,7.16,83.58,na,na,na,na,na,na,na,na,4.34,40500000,930,355
TF13,3,Kien Giang,6.78,71.54,na,na,na,na,na,na,na,na,2.55,18900000,8350,8000
TF14,3,Kien Giang,6.69,91.5,na,na,na,na,na,na,na,na,4.15,73500000,635,1230
TF15,3,Kien Giang,6.58,100.68,na,na,na,na,na,na,na,na,4.88,255000000,250,1580
TF16,3,Kien Giang,6.59,90.03,na,na,na,na,na,na,na,na,4.52,54000000,300,2850
TF17,3,Kien Giang,6.58,78.76,na,na,na,na,na,na,na,na,4.21,87500000,420,840
TF18,3,Ca Mau,6.69,100.43,na,na,na,na,na,na,na,na,3.31,156000000,13300,24800
TF19,3,Ca Mau,7.58,62.87,na,na,na,na,na,na,na,na,1.92,26500000,820,205
TF20,3,Ca Mau,6.76,151.28,na,na,na,na,na,na,na,na,4.77,1350000000,46000,88500
TF21,3,Ca Mau,6.51,73.31,na,na,na,na,na,na,na,na,2.7,25500000000,370000,900000
TF22,3,Ca Mau,6.86,86.6,na,na,na,na,na,na,na,na,3.43,177000000,70500,30000
