treatment,day,subsample,replicate,pH,TVB-N,TVC
1,0,1,1,6.83,26.542,5.68
1,0,1,2,6.78,26.772,5.61
1,0,1,3,6.8,26.632,5.62
1,0,2,4,6.79,26.632,NA
1,0,2,5,6.76,26.559,NA
1,0,2,6,6.78,26.535,NA
1,0,3,7,6.8,26.237,NA
1,0,3,8,6.84,26.438,NA
1,0,3,9,6.81,26.364,NA
2,0,1,1,6.74,28.457,5.68
2,0,1,2,6.75,28.74,5.61
2,0,1,3,6.74,29.153,5.62
2,0,2,4,6.75,29.871,NA
2,0,2,5,6.74,29.319,NA
2,0,2,6,6.75,29.582,NA
2,0,3,7,6.74,28.104,NA
2,0,3,8,6.74,28.114,NA
2,0,3,9,6.75,28.766,NA
1,1,1,1,6.8,29.431,6.08
1,1,1,2,6.81,29.51,6.05
1,1,1,3,6.8,29.451,6.07
1,1,2,4,6.82,30.638,NA
1,1,2,5,6.82,30.656,NA
1,1,2,6,6.82,30.71,NA
1,1,3,7,6.81,31.659,NA
1,1,3,8,6.8,31.654,NA
1,1,3,9,6.81,31.607,5.89
2,1,1,1,6.88,28.409,5.88
2,1,1,2,6.88,28.879,5.88
2,1,1,3,6.87,28.495,NA
2,1,2,4,6.92,28.275,NA
2,1,2,5,6.92,28.231,NA
2,1,2,6,6.92,28.156,NA
2,1,3,7,6.91,29.692,NA
2,1,3,8,6.92,29.227,NA
2,1,3,9,6.91,29.169,NA
1,2,1,1,6.92,31.21,6.65
1,2,1,2,6.92,31.305,6.57
1,2,1,3,6.91,31.519,6.64
1,2,2,4,6.91,32.944,NA
1,2,2,5,6.91,32.954,NA
1,2,2,6,6.91,33.097,NA
1,2,3,7,6.97,33.568,NA
1,2,3,8,6.98,33.298,NA
1,2,3,9,6.97,33.339,NA
2,2,1,1,6.8,30.522,6.5
2,2,1,2,6.81,30.677,6.48
2,2,1,3,6.81,30.32,6.51
2,2,2,4,6.83,30.444,NA
2,2,2,5,6.83,30.367,NA
2,2,2,6,6.82,30.385,NA
2,2,3,7,6.84,31.875,NA
2,2,3,8,6.85,31.51,NA
2,2,3,9,6.84,31.557,NA
1,3,1,1,6.82,34.186,7
1,3,1,2,6.81,34.123,7.08
1,3,1,3,6.82,34.157,7.09
1,3,2,4,6.78,34.323,NA
1,3,2,5,6.79,34.299,NA
1,3,2,6,6.78,34.362,NA
1,3,3,7,6.76,35.967,NA
1,3,3,8,6.77,36.017,NA
1,3,3,9,6.76,36.068,NA
2,3,1,1,6.77,32.586,6.77
2,3,1,2,6.78,31.561,6.71
2,3,1,3,6.78,32.567,6.77
2,3,2,4,6.76,31.412,NA
2,3,2,5,6.76,31.393,NA
2,3,2,6,6.77,32.375,NA
2,3,3,7,6.8,33.32,NA
2,3,3,8,6.8,33.313,NA
2,3,3,9,6.81,33.441,NA
1,4,1,1,6.84,36.586,7.18
1,4,1,2,6.84,36.561,7.15
1,4,1,3,6.84,36.567,7.16
1,4,2,4,6.85,35.412,NA
1,4,2,5,6.84,35.393,NA
1,4,2,6,6.85,35.375,NA
1,4,3,7,6.83,37.32,NA
1,4,3,8,6.83,37.313,NA
1,4,3,9,6.82,37.441,NA
2,4,1,1,6.98,34.398,6.85
2,4,1,2,6.99,34.406,6.8
2,4,1,3,6.98,36.446,6.81
2,4,2,4,6.92,30.462,NA
2,4,2,5,6.91,30.435,NA
2,4,2,6,6.92,30.317,NA
2,4,3,7,6.89,36.109,NA
2,4,3,8,6.9,36.174,NA
2,4,3,9,6.89,36.044,NA
1,5,1,1,6.86,38.585,7.51
1,5,1,2,6.87,38.549,7.6
1,5,1,3,6.86,38.248,7.56
1,5,2,4,6.86,37.218,NA
1,5,2,5,6.86,37.259,NA
1,5,2,6,6.87,37.294,NA
1,5,3,7,6.86,40.292,NA
1,5,3,8,6.87,40.167,NA
1,5,3,9,6.86,40.23,NA
2,5,1,1,6.94,36.586,6.96
2,5,1,2,6.94,36.561,6.97
2,5,1,3,6.95,36.567,6.97
2,5,2,4,6.96,35.412,NA
2,5,2,5,6.96,35.393,NA
2,5,2,6,6.95,35.375,NA
2,5,3,7,6.96,37.32,NA
2,5,3,8,6.96,37.313,NA
2,5,3,9,6.96,37.441,NA
